,c1,c2,c3
xkcd:sea blue,#047495,#047495,#047495
xkcd:sea green,#53fca1,#53fca1,#53fca1
xkcd:seafoam,#80f9ad,#80f9ad,#80f9ad
xkcd:seafoam blue,#78d1b6,#78d1b6,#78d1b6
xkcd:seafoam green,#7af9ab,#7af9ab,#7af9ab
xkcd:seaweed,#18d17b,#18d17b,#18d17b
xkcd:seaweed green,#35ad6b,#35ad6b,#35ad6b
xkcd:sepia,#985e2b,#985e2b,#985e2b
xkcd:shamrock,#01b44c,#01b44c,#01b44c
xkcd:shamrock green,#02c14d,#02c14d,#02c14d
xkcd:shit,#7f5f00,#7f5f00,#7f5f00
xkcd:shit brown,#7b5804,#7b5804,#7b5804
xkcd:shit green,#758000,#758000,#758000
xkcd:shocking pink,#fe02a2,#fe02a2,#fe02a2
xkcd:sick green,#9db92c,#9db92c,#9db92c
xkcd:sickly green,#94b21c,#94b21c,#94b21c
xkcd:sickly yellow,#d0e429,#d0e429,#d0e429
xkcd:sienna,#a9561e,#a9561e,#a9561e
xkcd:silver,#c5c9c7,#c5c9c7,#c5c9c7
xkcd:sky,#82cafc,#82cafc,#82cafc
xkcd:sky blue,#75bbfd,#75bbfd,#75bbfd
xkcd:slate,#516572,#516572,#516572
xkcd:slate blue,#5b7c99,#5b7c99,#5b7c99
xkcd:slate gray,#59656d,#59656d,#59656d
xkcd:slate green,#658d6d,#658d6d,#658d6d
xkcd:slate grey,#59656d,#59656d,#59656d
xkcd:slime green,#99cc04,#99cc04,#99cc04
xkcd:snot,#acbb0d,#acbb0d,#acbb0d
xkcd:snot green,#9dc100,#9dc100,#9dc100
xkcd:soft blue,#6488ea,#6488ea,#6488ea
xkcd:soft green,#6fc276,#6fc276,#6fc276
xkcd:soft pink,#fdb0c0,#fdb0c0,#fdb0c0
xkcd:soft purple,#a66fb5,#a66fb5,#a66fb5
xkcd:spearmint,#1ef876,#1ef876,#1ef876
xkcd:spring green,#a9f971,#a9f971,#a9f971
xkcd:spruce,#0a5f38,#0a5f38,#0a5f38
xkcd:squash,#f2ab15,#f2ab15,#f2ab15
xkcd:steel,#738595,#738595,#738595
xkcd:steel blue,#5a7d9a,#5a7d9a,#5a7d9a
xkcd:steel gray,#6f828a,#6f828a,#6f828a
xkcd:steel grey,#6f828a,#6f828a,#6f828a
xkcd:stone,#ada587,#ada587,#ada587
xkcd:stormy blue,#507b9c,#507b9c,#507b9c
xkcd:straw,#fcf679,#fcf679,#fcf679
xkcd:strawberry,#fb2943,#fb2943,#fb2943
xkcd:strong blue,#0c06f7,#0c06f7,#0c06f7
xkcd:strong pink,#ff0789,#ff0789,#ff0789
xkcd:sun yellow,#ffdf22,#ffdf22,#ffdf22
xkcd:sunflower,#ffc512,#ffc512,#ffc512
xkcd:sunflower yellow,#ffda03,#ffda03,#ffda03
xkcd:sunny yellow,#fff917,#fff917,#fff917
xkcd:sunshine yellow,#fffd37,#fffd37,#fffd37
xkcd:swamp,#698339,#698339,#698339
xkcd:swamp green,#748500,#748500,#748500
xkcd:tan,#d1b26f,#d1b26f,#d1b26f
xkcd:tan brown,#ab7e4c,#ab7e4c,#ab7e4c
xkcd:tan green,#a9be70,#a9be70,#a9be70
xkcd:tangerine,#ff9408,#ff9408,#ff9408
xkcd:taupe,#b9a281,#b9a281,#b9a281
xkcd:tea,#65ab7c,#65ab7c,#65ab7c
xkcd:tea green,#bdf8a3,#bdf8a3,#bdf8a3
xkcd:teal,#029386,#029386,#029386
xkcd:teal blue,#01889f,#01889f,#01889f
xkcd:teal green,#25a36f,#25a36f,#25a36f
xkcd:tealish,#24bca8,#24bca8,#24bca8
xkcd:tealish green,#0cdc73,#0cdc73,#0cdc73
xkcd:terra cotta,#c9643b,#c9643b,#c9643b
xkcd:terracota,#cb6843,#cb6843,#cb6843
xkcd:terracotta,#ca6641,#ca6641,#ca6641
xkcd:tiffany blue,#7bf2da,#7bf2da,#7bf2da
xkcd:tomato,#ef4026,#ef4026,#ef4026
xkcd:tomato red,#ec2d01,#ec2d01,#ec2d01
xkcd:topaz,#13bbaf,#13bbaf,#13bbaf
xkcd:toupe,#c7ac7d,#c7ac7d,#c7ac7d
xkcd:toxic green,#61de2a,#61de2a,#61de2a
xkcd:tree green,#2a7e19,#2a7e19,#2a7e19
xkcd:true blue,#010fcc,#010fcc,#010fcc
xkcd:true green,#089404,#089404,#089404
xkcd:turquoise,#06c2ac,#06c2ac,#06c2ac
xkcd:turquoise blue,#06b1c4,#06b1c4,#06b1c4
xkcd:turquoise green,#04f489,#04f489,#04f489
xkcd:turtle green,#75b84f,#75b84f,#75b84f
xkcd:twilight,#4e518b,#4e518b,#4e518b
xkcd:twilight blue,#0a437a,#0a437a,#0a437a
xkcd:ugly blue,#31668a,#31668a,#31668a
xkcd:ugly brown,#7d7103,#7d7103,#7d7103
xkcd:ugly green,#7a9703,#7a9703,#7a9703
xkcd:ugly pink,#cd7584,#cd7584,#cd7584
xkcd:ugly purple,#a442a0,#a442a0,#a442a0
xkcd:ugly yellow,#d0c101,#d0c101,#d0c101
xkcd:ultramarine,#2000b1,#2000b1,#2000b1
xkcd:ultramarine blue,#1805db,#1805db,#1805db
xkcd:umber,#b26400,#b26400,#b26400
xkcd:velvet,#750851,#750851,#750851
xkcd:vermillion,#f4320c,#f4320c,#f4320c
xkcd:very dark blue,#000133,#000133,#000133
xkcd:very dark brown,#1d0200,#1d0200,#1d0200
xkcd:very dark green,#062e03,#062e03,#062e03
xkcd:very dark purple,#2a0134,#2a0134,#2a0134
xkcd:very light blue,#d5ffff,#d5ffff,#d5ffff
xkcd:very light brown,#d3b683,#d3b683,#d3b683
xkcd:very light green,#d1ffbd,#d1ffbd,#d1ffbd
xkcd:very light pink,#fff4f2,#fff4f2,#fff4f2
xkcd:very light purple,#f6cefc,#f6cefc,#f6cefc
xkcd:very pale blue,#d6fffe,#d6fffe,#d6fffe
xkcd:very pale green,#cffdbc,#cffdbc,#cffdbc
xkcd:vibrant blue,#0339f8,#0339f8,#0339f8
xkcd:vibrant green,#0add08,#0add08,#0add08
xkcd:vibrant purple,#ad03de,#ad03de,#ad03de
xkcd:violet,#9a0eea,#9a0eea,#9a0eea
xkcd:violet blue,#510ac9,#510ac9,#510ac9
xkcd:violet pink,#fb5ffc,#fb5ffc,#fb5ffc
xkcd:violet red,#a50055,#a50055,#a50055
xkcd:viridian,#1e9167,#1e9167,#1e9167
xkcd:vivid blue,#152eff,#152eff,#152eff
xkcd:vivid green,#2fef10,#2fef10,#2fef10
xkcd:vivid purple,#9900fa,#9900fa,#9900fa
xkcd:vomit,#a2a415,#a2a415,#a2a415
xkcd:vomit green,#89a203,#89a203,#89a203
xkcd:vomit yellow,#c7c10c,#c7c10c,#c7c10c
xkcd:warm blue,#4b57db,#4b57db,#4b57db
xkcd:warm brown,#964e02,#964e02,#964e02
xkcd:warm gray,#978a84,#978a84,#978a84
xkcd:warm grey,#978a84,#978a84,#978a84
xkcd:warm pink,#fb5581,#fb5581,#fb5581
xkcd:warm purple,#952e8f,#952e8f,#952e8f
xkcd:washed out green,#bcf5a6,#bcf5a6,#bcf5a6
xkcd:water blue,#0e87cc,#0e87cc,#0e87cc
xkcd:watermelon,#fd4659,#fd4659,#fd4659
xkcd:weird green,#3ae57f,#3ae57f,#3ae57f
xkcd:wheat,#fbdd7e,#fbdd7e,#fbdd7e
xkcd:white,#ffffff,#ffffff,#ffffff
xkcd:windows blue,#3778bf,#3778bf,#3778bf
xkcd:wine,#80013f,#80013f,#80013f
xkcd:wine red,#7b0323,#7b0323,#7b0323
xkcd:wintergreen,#20f986,#20f986,#20f986
xkcd:wisteria,#a87dc2,#a87dc2,#a87dc2
xkcd:yellow,#ffff14,#ffff14,#ffff14
xkcd:yellow brown,#b79400,#b79400,#b79400
xkcd:yellow green,#c0fb2d,#c0fb2d,#c0fb2d
xkcd:yellow ochre,#cb9d06,#cb9d06,#cb9d06
xkcd:yellow orange,#fcb001,#fcb001,#fcb001
xkcd:yellow tan,#ffe36e,#ffe36e,#ffe36e
xkcd:yellow/green,#c8fd3d,#c8fd3d,#c8fd3d
xkcd:yellowgreen,#bbf90f,#bbf90f,#bbf90f
xkcd:yellowish,#faee66,#faee66,#faee66
xkcd:yellowish brown,#9b7a01,#9b7a01,#9b7a01
xkcd:yellowish green,#b0dd16,#b0dd16,#b0dd16
xkcd:yellowish orange,#ffab0f,#ffab0f,#ffab0f
xkcd:yellowish tan,#fcfc81,#fcfc81,#fcfc81
xkcd:yellowy brown,#ae8b0c,#ae8b0c,#ae8b0c
xkcd:yellowy green,#bff128,#bff128,#bff128
y,0.75,0.75,0.0
yellow,#FFFF00,#FFFF00,#FFFF00
yellowgreen,#9ACD32,#9ACD32,#9ACD32
