,c1,c2,c3
xkcd:dark aquamarine,#017371,#017371,#017371
xkcd:dark beige,#ac9362,#ac9362,#ac9362
xkcd:dark blue,#00035b,#00035b,#00035b
xkcd:dark blue gray,#1f3b4d,#1f3b4d,#1f3b4d
xkcd:dark blue green,#005249,#005249,#005249
xkcd:dark blue grey,#1f3b4d,#1f3b4d,#1f3b4d
xkcd:dark brown,#341c02,#341c02,#341c02
xkcd:dark coral,#cf524e,#cf524e,#cf524e
xkcd:dark cream,#fff39a,#fff39a,#fff39a
xkcd:dark cyan,#0a888a,#0a888a,#0a888a
xkcd:dark forest green,#002d04,#002d04,#002d04
xkcd:dark fuchsia,#9d0759,#9d0759,#9d0759
xkcd:dark gold,#b59410,#b59410,#b59410
xkcd:dark grass green,#388004,#388004,#388004
xkcd:dark gray,#363737,#363737,#363737
xkcd:dark gray blue,#29465b,#29465b,#29465b
xkcd:dark green,#033500,#033500,#033500
xkcd:dark green blue,#1f6357,#1f6357,#1f6357
xkcd:dark grey,#363737,#363737,#363737
xkcd:dark grey blue,#29465b,#29465b,#29465b
xkcd:dark hot pink,#d90166,#d90166,#d90166
xkcd:dark indigo,#1f0954,#1f0954,#1f0954
xkcd:dark khaki,#9b8f55,#9b8f55,#9b8f55
xkcd:dark lavender,#856798,#856798,#856798
xkcd:dark lilac,#9c6da5,#9c6da5,#9c6da5
xkcd:dark lime,#84b701,#84b701,#84b701
xkcd:dark lime green,#7ebd01,#7ebd01,#7ebd01
xkcd:dark magenta,#960056,#960056,#960056
xkcd:dark maroon,#3c0008,#3c0008,#3c0008
xkcd:dark mauve,#874c62,#874c62,#874c62
xkcd:dark mint,#48c072,#48c072,#48c072
xkcd:dark mint green,#20c073,#20c073,#20c073
xkcd:dark mustard,#a88905,#a88905,#a88905
xkcd:dark navy,#000435,#000435,#000435
xkcd:dark navy blue,#00022e,#00022e,#00022e
xkcd:dark olive,#373e02,#373e02,#373e02
xkcd:dark olive green,#3c4d03,#3c4d03,#3c4d03
xkcd:dark orange,#c65102,#c65102,#c65102
xkcd:dark pastel green,#56ae57,#56ae57,#56ae57
xkcd:dark peach,#de7e5d,#de7e5d,#de7e5d
xkcd:dark periwinkle,#665fd1,#665fd1,#665fd1
xkcd:dark pink,#cb416b,#cb416b,#cb416b
xkcd:dark plum,#3f012c,#3f012c,#3f012c
xkcd:dark purple,#35063e,#35063e,#35063e
xkcd:dark red,#840000,#840000,#840000
xkcd:dark rose,#b5485d,#b5485d,#b5485d
xkcd:dark royal blue,#02066f,#02066f,#02066f
xkcd:dark sage,#598556,#598556,#598556
xkcd:dark salmon,#c85a53,#c85a53,#c85a53
xkcd:dark sand,#a88f59,#a88f59,#a88f59
xkcd:dark sea green,#11875d,#11875d,#11875d
xkcd:dark seafoam,#1fb57a,#1fb57a,#1fb57a
xkcd:dark seafoam green,#3eaf76,#3eaf76,#3eaf76
xkcd:dark sky blue,#448ee4,#448ee4,#448ee4
xkcd:dark slate blue,#214761,#214761,#214761
xkcd:dark tan,#af884a,#af884a,#af884a
xkcd:dark taupe,#7f684e,#7f684e,#7f684e
xkcd:dark teal,#014d4e,#014d4e,#014d4e
xkcd:dark turquoise,#045c5a,#045c5a,#045c5a
xkcd:dark violet,#34013f,#34013f,#34013f
xkcd:dark yellow,#d5b60a,#d5b60a,#d5b60a
xkcd:dark yellow green,#728f02,#728f02,#728f02
xkcd:darkblue,#030764,#030764,#030764
xkcd:darkgreen,#054907,#054907,#054907
xkcd:darkish blue,#014182,#014182,#014182
xkcd:darkish green,#287c37,#287c37,#287c37
xkcd:darkish pink,#da467d,#da467d,#da467d
xkcd:darkish purple,#751973,#751973,#751973
xkcd:darkish red,#a90308,#a90308,#a90308
xkcd:deep aqua,#08787f,#08787f,#08787f
xkcd:deep blue,#040273,#040273,#040273
xkcd:deep brown,#410200,#410200,#410200
xkcd:deep green,#02590f,#02590f,#02590f
xkcd:deep lavender,#8d5eb7,#8d5eb7,#8d5eb7
xkcd:deep lilac,#966ebd,#966ebd,#966ebd
xkcd:deep magenta,#a0025c,#a0025c,#a0025c
xkcd:deep orange,#dc4d01,#dc4d01,#dc4d01
xkcd:deep pink,#cb0162,#cb0162,#cb0162
xkcd:deep purple,#36013f,#36013f,#36013f
xkcd:deep red,#9a0200,#9a0200,#9a0200
xkcd:deep rose,#c74767,#c74767,#c74767
xkcd:deep sea blue,#015482,#015482,#015482
xkcd:deep sky blue,#0d75f8,#0d75f8,#0d75f8
xkcd:deep teal,#00555a,#00555a,#00555a
xkcd:deep turquoise,#017374,#017374,#017374
xkcd:deep violet,#490648,#490648,#490648
xkcd:denim,#3b638c,#3b638c,#3b638c
xkcd:denim blue,#3b5b92,#3b5b92,#3b5b92
xkcd:desert,#ccad60,#ccad60,#ccad60
xkcd:diarrhea,#9f8303,#9f8303,#9f8303
xkcd:dirt,#8a6e45,#8a6e45,#8a6e45
xkcd:dirt brown,#836539,#836539,#836539
xkcd:dirty blue,#3f829d,#3f829d,#3f829d
xkcd:dirty green,#667e2c,#667e2c,#667e2c
xkcd:dirty orange,#c87606,#c87606,#c87606
xkcd:dirty pink,#ca7b80,#ca7b80,#ca7b80
xkcd:dirty purple,#734a65,#734a65,#734a65
xkcd:dirty yellow,#cdc50a,#cdc50a,#cdc50a
xkcd:dodger blue,#3e82fc,#3e82fc,#3e82fc
xkcd:drab,#828344,#828344,#828344
xkcd:drab green,#749551,#749551,#749551
xkcd:dried blood,#4b0101,#4b0101,#4b0101
